claim_id,retailer_id,claim_date,invoice_id,promo_id,claim_type,claimed_amount_usd,Raw_Claim_Text,supporting_doc_ref
CLM-0000,RET-005,2026-08-23,INV-005-0004,PRM-0028,Co-op Marketing,1624.71,"CO-OP MARKETING CONTRIBUTION PAYDAY SALE USD 1,624.71",DOC-0000.pdf
CLM-0001,RET-006,2026-01-17,INV-006-0008,PRM-0035,Promo Discount Support,877.45,CLAIMING PROMOTIONAL DISCOUNT SUPPORT BACK-TO-CAMPUS - TOTAL USD 877.45. SEE ATTACHED REMITTANCE,DOC-0001.pdf
CLM-0002,RET-001,2026-01-04,INV-001-0023,,Shortage,191.12,"short delivery on INV-001-0023. shortfall value USD 191.12  //fwd from finance team, pls action",
CLM-0003,RET-005,2026-07-01,INV-005-0010,PRM-0026,Promo Discount Support,484.78,CLAIMING PROMOTIONAL DISCOUNT SUPPORT BACK-TO-CAMPUS - TOTAL USD 484.78. SEE ATTACHED REMITTANCE,
CLM-0004,RET-003,2026-01-27,INV-003-0009,PRM-0016,Co-op Marketing,1286.03,"co-op marketing contribution Diaper Intro Offer USD 1,286.03",
CLM-0005,RET-002,2025-11-09,INV-002-0004,,Freight,265.73,freight recovery USD 265.73 inv INV-002-0004,
CLM-0006,RET-001,2026-08-18,INV-001-0006,,Listing Fee,640.01,Annual listing fee new SKU. $640.01. per trade terms,DOC-0006.pdf
CLM-0007,RET-001,2025-11-13,INV-001-0042,,Damages,45.82,"damaged stock on delivery INV-001-0042, claiming $45.82  //fwd from finance team, pls action",
CLM-0008,RET-005,2026-06-10,INV-005-0010,,Damages,193.25,Goods received damaged. Raising claim $193.25. photos w/ store mgr,
CLM-0009,RET-004,2026-08-23,INV-004-0014,,Co-op Marketing,3614.58,"CO-OP MARKETING CONTRIBUTION BACK-TO-CAMPUS USD 3,614.58",DOC-0009.pdf
CLM-0010,RET-003,2026-05-03,INV-003-0002,PRM-0015,Co-op Marketing,1345.77,"marketing coop claim - $1,345.77",DOC-0010.pdf
