claim_id,retailer_id,contract_id,verdict,gate,claimed_amount_usd,excess_usd,source_document,clause,clause_text,decided_at
CLM-0002,RET-001,CONTRACT_ALPHA,HOLD,6-substantiation,191.12,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0003,RET-005,CONTRACT_BETA,HOLD,6-substantiation,484.78,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0004,RET-003,CONTRACT_ALPHA,HOLD,6-substantiation,1286.03,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0005,RET-002,CONTRACT_ALPHA,HOLD,6-substantiation,265.73,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0007,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,45.82,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0008,RET-005,CONTRACT_BETA,REJECT,4-arithmetic,193.25,52.18,trade_terms_appendix.md,A2.1,"A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.",2026-08-23T10:55:28Z
CLM-0009,RET-004,CONTRACT_BETA,HOLD,7-authority,3614.58,0.0,trade_terms_appendix.md,A3.2,"Claims above US$2,000 require Commercial Manager approval before settlement, regardless of whether the claim is otherwise valid and fully substantiated.",2026-08-23T10:55:28Z
CLM-0010,RET-003,CONTRACT_ALPHA,REJECT,4-arithmetic,1345.77,162.97,trade_terms_appendix.md,A2.1,"A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.",2026-08-23T10:55:28Z
CLM-0012,RET-005,CONTRACT_BETA,REJECT,3-clause,435.05,156.58,contract_beta.md,9.4,The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.,2026-08-23T10:55:28Z
CLM-0013,RET-004,CONTRACT_BETA,AUTO_CLEAR,2-materiality,46.05,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0014,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,42.66,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0017,RET-003,CONTRACT_ALPHA,REJECT,3-clause,1058.21,1058.21,contract_alpha.md,5.2,"A claim for promotional support that does not quote a valid, pre-approved promotion reference is not payable, irrespective of whether the promotion took place in store.",2026-08-23T10:55:28Z
CLM-0021,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,40.96,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0022,RET-002,CONTRACT_ALPHA,HOLD,6-substantiation,383.22,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0026,RET-004,CONTRACT_BETA,AUTO_CLEAR,2-materiality,39.34,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
