promo_id,retailer_id,sku,promo_name,start_date,end_date,agreed_support_type,agreed_support_usd,agreed_discount_pct
PRM-0000,RET-001,SKU-DIA-NB-32,Payday Sale,2025-11-15,2025-12-02,Promo Discount Support,1321.35,0.2
PRM-0001,RET-001,SKU-DIA-NB-32,Shelf Reset,2026-06-22,2026-07-05,Co-op Marketing,1373.17,0.1
PRM-0002,RET-001,SKU-PAD-DAY-10,Ramadan Bundle,2025-09-13,2025-10-04,Promo Discount Support,906.34,0.15
PRM-0003,RET-001,SKU-PAD-LIN-20,Ramadan Bundle,2026-04-25,2026-05-18,Display / Gondola,417.3,0.2
PRM-0004,RET-001,SKU-PAD-DAY-10,Ramadan Bundle,2026-04-21,2026-05-02,Listing Fee,1193.87,0.15
PRM-0005,RET-001,SKU-PAD-LIN-20,Diaper Intro Offer,2026-07-08,2026-08-05,Promo Discount Support,1062.83,0.0
PRM-0006,RET-001,SKU-DIA-NB-32,Night Pad Launch,2025-09-14,2025-09-29,Co-op Marketing,442.38,0.1
PRM-0007,RET-002,SKU-PAD-NGT-10,Festive Gifting,2026-05-03,2026-05-17,Co-op Marketing,1297.71,0.1
PRM-0008,RET-002,SKU-DIA-NB-32,Diaper Intro Offer,2025-11-20,2025-12-15,Listing Fee,1524.43,0.0
PRM-0009,RET-002,SKU-PAD-NGT-10,Diaper Intro Offer,2026-02-19,2026-03-08,Co-op Marketing,1108.93,0.15
PRM-0010,RET-002,SKU-PAD-DAY-10,Payday Sale,2026-01-19,2026-02-21,Listing Fee,765.65,0.15
PRM-0011,RET-003,SKU-PAD-DAY-10,Festive Gifting,2026-01-29,2026-02-11,Promo Discount Support,589.31,0.0
PRM-0012,RET-003,SKU-PAD-NGT-10,Shelf Reset,2025-12-06,2025-12-31,Co-op Marketing,1088.48,0.2
PRM-0013,RET-003,SKU-PAD-NGT-10,Shelf Reset,2026-01-09,2026-01-22,Promo Discount Support,1023.63,0.15
PRM-0014,RET-003,SKU-PAD-DAY-10,Back-to-Campus,2025-12-10,2026-01-12,Listing Fee,863.79,0.0
PRM-0015,RET-003,SKU-PAD-LIN-20,Back-to-Campus,2025-11-11,2025-11-23,Co-op Marketing,1182.8,0.15
PRM-0016,RET-003,SKU-PAD-LIN-20,Diaper Intro Offer,2026-03-25,2026-04-18,Listing Fee,1302.41,0.1
PRM-0017,RET-003,SKU-PAD-NGT-10,Diaper Intro Offer,2026-02-22,2026-03-08,Co-op Marketing,704.92,0.2
PRM-0018,RET-004,SKU-PAD-LIN-20,Festive Gifting,2026-05-15,2026-06-12,Promo Discount Support,905.09,0.2
PRM-0019,RET-004,SKU-PAD-NGT-10,Shelf Reset,2026-04-21,2026-05-14,Promo Discount Support,1372.34,0.1
PRM-0020,RET-004,SKU-PAD-DAY-10,Ramadan Bundle,2025-12-31,2026-01-22,Promo Discount Support,1378.79,0.0
PRM-0021,RET-004,SKU-PAD-DAY-10,Back-to-Campus,2026-05-19,2026-05-30,Co-op Marketing,442.19,0.1
PRM-0022,RET-004,SKU-PAD-DAY-10,Mid-Year Mega,2026-04-20,2026-05-07,Display / Gondola,1358.04,0.0
PRM-0023,RET-004,SKU-PAD-NGT-10,Back-to-Campus,2026-04-12,2026-05-13,Co-op Marketing,1041.18,0.0
PRM-0024,RET-005,SKU-PAD-NGT-10,Diaper Intro Offer,2025-10-08,2025-10-30,Display / Gondola,1593.65,0.1
PRM-0025,RET-005,SKU-PAD-NGT-10,Shelf Reset,2026-05-03,2026-05-23,Co-op Marketing,1187.57,0.2
PRM-0026,RET-005,SKU-PAD-LIN-20,Back-to-Campus,2026-01-01,2026-02-03,Promo Discount Support,492.68,0.2
PRM-0027,RET-005,SKU-PAD-DAY-10,Mid-Year Mega,2026-02-14,2026-03-07,Promo Discount Support,1370.83,0.2
PRM-0028,RET-005,SKU-PAD-LIN-20,Payday Sale,2026-07-11,2026-08-13,Display / Gondola,1586.45,0.15
PRM-0029,RET-005,SKU-PAD-NGT-10,Shelf Reset,2025-10-15,2025-11-06,Listing Fee,312.07,0.2
PRM-0030,RET-006,SKU-PAD-NGT-10,Night Pad Launch,2025-09-14,2025-10-04,Display / Gondola,453.3,0.0
PRM-0031,RET-006,SKU-DIA-NB-32,Ramadan Bundle,2025-11-17,2025-12-19,Co-op Marketing,608.88,0.0
PRM-0032,RET-006,SKU-DIA-NB-32,Diaper Intro Offer,2025-11-01,2025-11-23,Co-op Marketing,317.76,0.1
PRM-0033,RET-006,SKU-DIA-NB-32,Shelf Reset,2025-11-25,2025-12-11,Display / Gondola,1108.81,0.15
PRM-0034,RET-006,SKU-DIA-NB-32,Shelf Reset,2026-01-07,2026-02-02,Co-op Marketing,713.25,0.0
PRM-0035,RET-006,SKU-DIA-NB-32,Back-to-Campus,2026-04-24,2026-05-17,Display / Gondola,875.6,0.2
PRM-0036,RET-006,SKU-PAD-LIN-20,Shelf Reset,2026-02-16,2026-03-17,Listing Fee,1473.37,0.15
