claim_id,retailer_id,contract_id,claim_type,claimed_amount_usd,verdict,gate,reason,entitled_amount_usd,excess_usd,basis,citation,decided_at
CLM-0000,RET-005,CONTRACT_BETA,Co-op Marketing,1624.71,AUTO_CLEAR,0-clear,passed every gate,1586.45,0.0,agreed support on PRM-0028,,2026-08-25T16:58:22Z
CLM-0001,RET-006,CONTRACT_BETA,Promo Discount Support,877.45,AUTO_CLEAR,0-clear,passed every gate,875.6,0.0,agreed support on PRM-0035,,2026-08-25T16:58:22Z
CLM-0002,RET-001,CONTRACT_ALPHA,Shortage,191.12,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Shortage,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0003,RET-005,CONTRACT_BETA,Promo Discount Support,484.78,HOLD,6-substantiation,no supporting document and above the materiality threshold,492.68,0.0,agreed support on PRM-0026,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0004,RET-003,CONTRACT_ALPHA,Co-op Marketing,1286.03,HOLD,6-substantiation,no supporting document and above the materiality threshold,1302.41,0.0,agreed support on PRM-0016,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0005,RET-002,CONTRACT_ALPHA,Freight,265.73,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Freight,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0006,RET-001,CONTRACT_ALPHA,Listing Fee,640.01,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0007,RET-001,CONTRACT_ALPHA,Damages,45.82,AUTO_CLEAR,2-materiality,US$45.82 below the US$150 review threshold,45.82,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0008,RET-005,CONTRACT_BETA,Damages,193.25,REJECT,4-arithmetic,claimed US$193.25 vs recomputed US$141.07 (tolerance US$50.00),141.07,52.18,"45 damaged units x US$3.13, capped at 3.0% of invoice","trade_terms_appendix.md clause A2.1: ""A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.""",2026-08-25T16:58:22Z
CLM-0009,RET-004,CONTRACT_BETA,Listing Fee,3614.58,HOLD,7-authority,"US$3,614.58 exceeds the US$2,000 KAM settlement authority",,0.0,no reference value available for Listing Fee,"trade_terms_appendix.md clause A3.2: ""Claims above US$2,000 require Commercial Manager approval before settlement, regardless of whether the claim is otherwise valid and fully substantiated.""",2026-08-25T16:58:22Z
CLM-0010,RET-003,CONTRACT_ALPHA,Co-op Marketing,1345.77,REJECT,4-arithmetic,"claimed US$1,345.77 vs recomputed US$1,182.80 (tolerance US$59.14)",1182.8,162.97,agreed support on PRM-0015,"trade_terms_appendix.md clause A2.1: ""A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.""",2026-08-25T16:58:22Z
CLM-0011,RET-004,CONTRACT_BETA,Promo Discount Support,1326.82,AUTO_CLEAR,0-clear,passed every gate,1358.04,0.0,agreed support on PRM-0022,,2026-08-25T16:58:22Z
CLM-0012,RET-005,CONTRACT_BETA,Damages,435.05,REJECT,3-clause,"damages claimed at 4.69% of gross invoice, allowance is 3.0%",278.47,156.58,"142 damaged units x US$2.47, capped at 3.0% of invoice","contract_beta.md clause 9.4: ""The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.""",2026-08-25T16:58:22Z
CLM-0013,RET-004,CONTRACT_BETA,Price Difference,46.05,AUTO_CLEAR,2-materiality,US$46.05 below the US$150 review threshold,46.05,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0014,RET-001,CONTRACT_ALPHA,Damages,42.66,AUTO_CLEAR,2-materiality,US$42.66 below the US$150 review threshold,42.66,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0015,RET-002,CONTRACT_ALPHA,Listing Fee,591.08,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0016,RET-002,CONTRACT_ALPHA,Unclassified,1516.78,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Unclassified),,0.0,no reference value available for Unclassified,,2026-08-25T16:58:22Z
CLM-0017,RET-003,CONTRACT_ALPHA,Promo Discount Support,1058.21,REJECT,3-clause,promotional support claimed with no pre-approved promotion reference,0.0,1058.21,,"contract_alpha.md clause 5.2: ""A claim for promotional support that does not quote a valid, pre-approved promotion reference is not payable, irrespective of whether the promotion took place in store.""",2026-08-25T16:58:22Z
